date,channel,channel_type,campaign,campaign_objective,adgroup,ad_name,impressions,clicks,spend_krw,signups,purchases_ch,revenue_krw_ch,clicks_af,installs,purchases_af,revenue_krw_af,creative_type,category,season,ab_flag,version,is_test,exclude_from_insight,roas,cpi_krw,ctr,cvr,cpc_krw,cpm_krw
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,74501,1464,372882,142,43,2692197,1414,102,33,1955228,VID,플러스멤버십,겨울,A,v1,False,False,5.243556942947085,3655.705882317101,0.01965074294304748,0.06967213114749339,254.70081967195716,5005.060334760539
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,57143,1576,254765,151,44,2595379,1384,125,37,1872214,IMG,플러스멤버십,겨울,B,v1,False,False,7.348788098836154,2038.119999983695,0.027579931050171893,0.07931472081213241,161.65291878162333,4458.376354059036
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,81365,2503,418912,232,79,4207251,2157,167,68,3562626,CRS,플러스멤버십,겨울,N,v1,False,False,8.50447349323961,2508.455089805339,0.03076261291710157,0.0667199360766813,167.3639632440402,5148.5528175504805
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,논타겟,IMG_적립혜택_겨울_v2,81419,2547,454294,382,95,5622206,2439,319,82,4729646,IMG,적립혜택,겨울,N,v2,False,False,10.410980554442695,1424.119122252589,0.031282624448838336,0.1252453867294365,178.3643502158703,5579.7049828663385
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,77188,1544,378327,157,31,1562454,1332,119,25,1244673,VID,플러스멤버십,겨울,A,v1,False,False,3.2899396553774825,3179.2184873682418,0.020003109291599472,0.0770725388600537,245.03044041434907,4901.37067938015
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,63394,1439,316168,212,62,3766568,1255,182,44,3012070,IMG,플러스멤버십,겨울,B,v1,False,False,9.526802206421872,1737.1868131772683,0.02269930908287815,0.12647671994431794,219.71369006239075,4987.348960469367
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,88942,2651,500324,344,111,7252739,2332,243,83,5629761,CRS,플러스멤버십,겨울,N,v1,False,False,11.252230554600597,2058.9465020491402,0.02980594095028187,0.09166352319875833,188.73029045636034,5625.283892873944
2025-01-01,google,외부,GGL_CMP_01_플러스가입,플러스가입,유사타겟,IMG_적립혜택_겨울_v2,56828,1978,359608,205,60,3292792,1916,164,44,2541349,IMG,적립혜택,겨울,N,v2,False,False,7.066997953326936,2192.731707303703,0.03480678538748443,0.08291203235587315,181.80384226482215,6328.007320334935
2025-01-01,google,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,42768,1283,243183,171,72,3602255,1256,138,50,2629265,VID,할인쿠폰,겨울,A,v1,False,False,10.811878297413838,1762.1956521611437,0.029999064721286245,0.10756040529999411,189.54247856571354,5686.097081930282
2025-01-01,google,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,31588,1190,194032,122,40,2179781,1165,99,35,1963467,IMG,할인쿠폰,겨울,B,v1,False,False,10.119294755504194,1959.9191918993947,0.037672533873621704,0.08319327731085446,163.05210084019913,6142.585792072745
2025-01-01,google,외부,GGL_CMP_02_리타겟팅,리타겟팅,리마케팅,CRS_특가_겨울_v1,29159,1155,172031,127,49,3019696,998,101,38,2779030,CRS,특가,겨울,N,v1,False,False,16.154239642854975,1703.277227705908,0.039610411879692733,0.08744588744581173,148.9445887444598,5899.756507424607
2025-01-01,google,외부,GGL_CMP_03_첫구매,첫구매,논타겟,VID_적립혜택_겨울_A_v1,84253,1807,463500,131,63,4708190,1606,110,51,3541012,VID,적립혜택,겨울,A,v1,False,False,7.639723840345183,4213.636363598058,0.021447307514272235,0.060874377421106324,256.502490315298,5501.287787971876
2025-01-01,google,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,79578,2036,486459,186,50,2910286,1735,168,43,2603686,IMG,적립혜택,겨울,B,v1,False,False,5.352323628507222,2895.5892856970504,0.02558496066752085,0.08251473477402627,238.92878192522647,6112.9834878985885
2025-01-01,google,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,60809,1116,385020,127,37,2334744,958,110,31,1743965,CRS,할인쿠폰,겨울,N,v1,False,False,4.529543919796363,3500.1818181499984,0.018352546498050973,0.09856630824363928,344.9999999996909,6331.628541827587
